	PV2	PV5	PV6	PV7	PV8	PV9
Cluster-211.0	0	0	0	0	0	52
Cluster-212.0	0	0	0	0	0	13
Cluster-213.0	0	0	0	0	0	31
Cluster-214.0	0	0	0	0	0	51
Cluster-215.0	0	0	0	0	0	43
Cluster-216.0	0	0	0	0	0	29
Cluster-217.0	0	0	0	0	0	12
Cluster-218.0	0	0	0	0	0	43
Cluster-219.0	0	0	0	0	0	27
Cluster-220.0	0	0	0	0	0	55
Cluster-221.0	0	0	0	0	0	20
Cluster-222.0	0	0	0	0	0	43
Cluster-223.0	0	0	0	0	0	29
Cluster-224.0	0	0	0	0	0	31
Cluster-225.0	0	0	0	0	0	19
Cluster-226.0	0	0	0	0	0	45
Cluster-227.0	0	0	0	0	0	51
Cluster-228.0	0	0	0	0	0	37
Cluster-229.0	0	0	0	0	0	23
Cluster-230.0	0	0	0	0	0	30
Cluster-231.0	0	0	0	0	0	22
Cluster-232.0	0	0	0	0	0	24
Cluster-233.0	0	0	0	0	0	27
Cluster-234.0	0	0	0	0	0	72
Cluster-235.0	0	0	0	0	0	17
Cluster-236.0	0	0	0	0	0	34
Cluster-237.0	0	0	0	0	0	24
Cluster-238.0	0	0	0	0	0	25
Cluster-239.0	0	0	0	0	0	21
Cluster-240.0	0	0	0	0	0	25
Cluster-241.0	0	0	0	0	0	12
Cluster-242.0	0	0	0	0	0	40
Cluster-243.0	0	0	0	0	0	18
Cluster-244.0	0	0	0	0	0	17
Cluster-245.0	0	0	0	0	0	39
Cluster-246.0	0	0	0	0	0	20
Cluster-247.0	0	0	0	0	0	17
Cluster-248.0	0	0	0	0	0	37
Cluster-249.0	0	0	0	0	0	21
Cluster-250.0	0	0	0	0	0	32
Cluster-251.0	0	0	0	0	0	38
Cluster-252.0	0	0	0	0	0	17
Cluster-253.0	0	0	0	0	0	39
Cluster-254.0	0	0	0	0	0	35
Cluster-255.0	0	0	0	0	0	21
Cluster-256.0	0	0	0	0	0	15
Cluster-257.0	0	0	0	0	0	23
Cluster-258.0	0	0	0	0	0	22
Cluster-259.0	0	0	0	0	0	21
Cluster-260.0	0	0	0	0	0	33
Cluster-261.0	0	0	0	0	0	46
Cluster-262.0	0	0	0	0	0	29
Cluster-263.0	0	0	0	0	0	41
Cluster-264.0	0	0	0	0	0	18
Cluster-265.0	0	0	0	0	0	41
Cluster-266.0	0	0	0	0	0	29
Cluster-267.0	0	0	54	48	20	20
Cluster-268.0	0	0	0	0	0	28
Cluster-269.0	0	0	0	0	0	37
Cluster-270.0	0	0	0	0	0	24
Cluster-271.0	0	0	0	0	0	49
Cluster-272.0	0	0	0	0	0	52
Cluster-273.0	103	142	178	208	78	180
Cluster-274.0	0	0	0	0	0	57
Cluster-275.0	0	0	0	0	0	11
Cluster-276.0	0	0	0	0	0	15
Cluster-277.0	0	0	0	0	0	40
Cluster-278.0	0	0	0	0	0	35
Cluster-279.0	0	0	0	0	0	16
Cluster-280.0	0	0	0	0	0	35
Cluster-281.0	0	0	0	0	0	19
Cluster-282.0	0	0	0	0	0	21
Cluster-283.0	0	0	0	0	0	11
Cluster-284.0	0	0	0	0	0	36
Cluster-285.0	0	0	0	0	0	37
Cluster-286.0	0	0	0	0	0	41
Cluster-287.0	0	0	0	0	0	33
Cluster-288.0	0	0	0	0	0	56
Cluster-289.0	0	0	0	0	0	13
Cluster-290.0	0	0	0	0	0	25
Cluster-291.0	0	0	0	0	0	47
Cluster-292.0	0	0	0	0	0	29
Cluster-293.0	0	0	0	0	0	12
Cluster-294.0	0	0	0	0	0	293
Cluster-295.0	0	0	0	0	0	14
Cluster-296.0	0	0	0	0	0	41
Cluster-297.0	0	0	0	0	0	15
Cluster-298.0	0	0	0	0	0	19
Cluster-299.0	0	0	0	0	0	33
Cluster-300.0	0	0	0	0	0	11
Cluster-301.0	0	0	0	0	0	22
Cluster-302.0	0	0	0	0	0	21
Cluster-303.0	0	0	0	0	0	39
Cluster-304.0	0	0	0	0	0	111
Cluster-305.0	0	0	0	0	0	48
Cluster-306.0	0	0	0	0	0	36
Cluster-307.0	0	0	0	0	0	15
Cluster-308.0	0	0	0	0	0	21
Cluster-309.0	0	0	0	0	0	32
Cluster-310.0	0	0	0	0	0	13
Cluster-311.0	0	0	0	0	0	13
Cluster-312.0	0	0	0	0	0	29
Cluster-313.0	0	0	0	0	0	28
Cluster-314.0	0	0	0	0	0	11
Cluster-315.0	0	0	0	0	0	16
Cluster-316.0	0	0	0	0	0	47
Cluster-317.0	0	0	0	0	0	31
Cluster-318.0	0	0	0	0	0	30
Cluster-319.0	0	0	0	0	0	23
Cluster-320.0	0	0	0	0	0	13
Cluster-321.0	0	0	0	0	0	18
Cluster-322.0	0	0	0	0	0	29
Cluster-323.0	0	0	0	0	0	20
Cluster-324.0	0	0	0	0	0	18
Cluster-325.0	0	0	0	0	0	46
Cluster-326.0	0	0	0	0	0	24
Cluster-327.0	0	0	0	0	0	50
Cluster-328.0	0	0	0	0	0	12
Cluster-329.0	0	0	0	0	0	52
Cluster-330.0	0	0	0	0	0	42
Cluster-331.0	0	0	0	0	0	24
Cluster-332.0	0	0	0	0	0	60
Cluster-333.0	0	0	0	0	0	29
Cluster-334.0	0	0	0	0	0	34
Cluster-335.0	0	0	0	0	0	37
Cluster-336.0	0	0	0	0	0	22
Cluster-337.0	0	0	0	0	0	117
Cluster-338.0	0	0	0	0	0	22
Cluster-339.0	0	0	0	0	0	14
Cluster-340.0	0	0	0	0	0	12
Cluster-341.0	0	0	0	0	0	37
Cluster-342.0	0	0	0	0	0	18
Cluster-343.0	0	0	0	0	0	23
Cluster-344.0	0	0	0	0	0	35
Cluster-345.0	0	0	0	0	0	14
Cluster-346.0	0	0	0	0	0	14
Cluster-347.0	0	0	0	0	0	22
Cluster-348.0	0	0	0	0	0	321
Cluster-349.0	0	0	0	0	0	20
Cluster-350.0	0	0	0	0	0	40
Cluster-351.0	0	0	0	0	0	30
Cluster-352.0	0	0	0	0	0	30
