	WC1E	WC1T	WC2E	WC2T	WC3E	WC3T	WH3E	WH5E	WH5T	WH6E	WH6T
Cluster-150.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-151.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-152.0	0	0	0	0	0	0	0	0	0	0	15
Cluster-153.0	0	0	0	0	0	0	0	0	0	0	21
Cluster-154.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-155.0	0	0	0	0	0	0	0	0	0	0	41
Cluster-156.0	0	0	0	0	0	0	0	0	0	0	21
Cluster-157.0	0	0	0	0	0	0	0	0	0	0	104
Cluster-158.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-159.0	0	0	0	0	0	0	0	0	0	0	23
Cluster-160.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-161.0	0	0	0	0	0	0	0	0	0	0	24
Cluster-162.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-163.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-164.0	0	0	0	0	0	0	0	0	0	0	959
Cluster-165.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-166.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-167.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-168.0	0	0	0	0	0	0	0	0	0	0	20
Cluster-168.1	0	0	0	0	0	0	0	0	0	5	34
Cluster-169.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-170.0	0	0	0	0	0	0	0	0	0	0	27
Cluster-171.0	0	0	0	0	0	0	0	0	0	0	351
Cluster-172.0	0	0	0	0	0	0	0	0	0	0	39
Cluster-173.0	0	0	0	0	0	0	0	0	0	0	24
Cluster-174.0	0	0	0	0	0	0	0	0	0	0	73
Cluster-175.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-176.0	0	0	0	0	0	0	0	0	0	0	16
Cluster-177.0	0	0	0	0	0	0	0	0	0	0	13
Cluster-178.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-179.0	0	0	0	0	0	0	0	0	0	0	48
